Visitante,n° do indivíduo,Em flor de:
Apis mellifera,115,Andira anthelmia
Centris sp.1,112,Andira anthelmia
Centris sp.2,109,Andira anthelmia
Centris sp.2,111,Andira anthelmia
Centris sp.2,113,Andira anthelmia
Nannotrigona testaceicornis,103,Andira anthelmia
Nannotrigona testaceicornis,104,Andira anthelmia
Oxytrigona cagafogo,114,Andira anthelmia
Plebeia droryana,105,Andira anthelmia
Plebeia droryana,106,Andira anthelmia
Tetragonisca angustula,102,Andira anthelmia
Trigona spinipes,110,Andira anthelmia
Xylocopa brasilianorum,101,Andira anthelmia
Xylocopa frontalis,107,Andira anthelmia
Xylocopa frontalis,108,Andira anthelmia
Trigonopedia ferruginea,9,Begonia concinna
Trigonopedia ferruginea,160,Begonia concinna
Plebeia droryana,81,Begonia convolvulacea
Plebeia droryana,84,Begonia huegelii 
Plebeia droryana,85,Begonia huegelii 
Plebeia droryana,86,Begonia huegelii 
Plebeia droryana,87,Begonia huegelii 
Plebeia droryana,88,Begonia huegelii 
Plebeia droryana,89,Begonia huegelii 
Plebeia saiqui,83,Begonia huegelii 
Trigona sp.2,82,Begonia huegelii 
Tetragonisca angustula,211,Begonia huegelli
Trigona sp.2,77,Brillantaisia lamium
Paratetrapedia sp.2,144,Caamembeca salicifolia
Paratetrapedia sp.2,145,Caamembeca salicifolia
Psedaugochlora sp.,147,Caamembeca salicifolia
Trigona sp.2,71,Caliandra sp.
Plebeia droryana,74,Casearia sp.
Plebeia droryana,75,Casearia sp.
Apis mellifera,,Cosmos caudatus
Augochloropsis sp.1,29,Cosmos caudatus
Tetragonisca angustula,,Cosmos caudatus
Apis mellifera,,Cosmos sulphureus
Bombus morio,13,Cosmos sulphureus
Megachile sp.1,12,Cosmos sulphureus
Megachile sp.4,28,Cosmos sulphureus
Tetragonisca angustula,,Cosmos sulphureus
Anthidiini sp.2,188,Croton triqueter
Anthidiini sp.2,189,Croton triqueter
Apis mellifera,197,Croton triqueter
Apis mellifera,-,Croton triqueter
Augochlorella sp.1,198,Croton triqueter
Augochlorella sp.2,192,Croton triqueter
Augochloropsis sp.4,190,Croton triqueter
Bombus brasiliensis,187,Croton triqueter
Exomalopsis sp.2,199,Croton triqueter
Megachile sp.3,196,Croton triqueter
Megachile sp.6,200,Croton triqueter
Melipona marginata carioca,191,Croton triqueter
Melipona marginata carioca,193,Croton triqueter
Nannotrigona testaceicornis,195,Croton triqueter
Plebeia remota,194,Croton triqueter
Tetrapedia sp.,185,Croton triqueter
Tetrapedia sp.,186,Croton triqueter
Trichocerapis mirabilis,207,Croton triqueter
Euglossa sp.,209,Dichorisandra thyrsiflora
Trigona sp.2,,Dichorisandra thyrsiflora
Trigona spinipes,210,Dichorisandra thyrsiflora
Plebeia droryana,120,Eriotheca sp.
Plebeia droryana,121,Eriotheca sp.
Plebeia droryana,122,Eriotheca sp.
Plebeia saiqui,119,Eriotheca sp.
Ancyloscelis apiformis,30,Ipomoea carnea
Melitoma segmentaria,31,Ipomoea carnea
Augochlora sp.1,32,Ipomoea indica
Euglossa sp.,26,Ipomoea indica
Melitoma segmentaria,27,Ipomoea indica
Thygater sp.1,23,Ipomoea indica
Thygater sp.2,24,Ipomoea indica
Thygater sp.2,25,Ipomoea indica
Augochloropsis sp.2,116,Ludwigia sp.
Epicharis sp.,204,Manettia mitis
Osiris sp.3,6,Maranta cristata
Osiris variegatus,4,Maranta cristata
Osiris variegatus,5,Maranta cristata
Osiris variegatus,10,Maranta cristata
Paratetrapedia sp.1,11,Maranta cristata
Plebeia droryana,Foi pro matheus,Maranta cristata
Osiris sp.2,2,Maranta leuconeura
Osiris variegatus,1,Maranta leuconeura
Osiris variegatus,3,Maranta leuconeura
Osiris variegatus,7,Maranta leuconeura
Osiris variegatus,8,Maranta leuconeura
Osiris variegatus,Soltei,Maranta leuconeura
Augochloropsis sp.5,44,Miconia calvescens
Ceratalictus sp.1,43,Miconia calvescens
Leurotrigona muelleri,66,Miconia calvescens
Leurotrigona muelleri,67,Miconia calvescens
Melipona marginata carioca,49,Miconia calvescens
Melipona marginata carioca,50,Miconia calvescens
Melipona marginata carioca,51,Miconia calvescens
Melipona marginata carioca,52,Miconia calvescens
Melipona marginata carioca,53,Miconia calvescens
Melipona marginata carioca,54,Miconia calvescens
Melipona marginata carioca,55,Miconia calvescens
Melipona marginata carioca,56,Miconia calvescens
Oxytrigona cagafogo,46,Miconia calvescens
Oxytrigona cagafogo,47,Miconia calvescens
Partamona sp.,45,Miconia calvescens
Partamona sp.,65,Miconia calvescens
Plebeia remota,48,Miconia calvescens
Augochloropsis sp.4,178,Miconia dodecandra
Augochloropsis sp.4,179,Miconia dodecandra
Trigona sp.2,167,Miconia dodecandra
Trigona sp.2,168,Miconia dodecandra
Xylocopa frontalis,Avistamento,Miconia dodecandra
Anthidiini sp.1,18,Ocimum gratissimum
Anthidiini sp.1,19,Ocimum gratissimum
Anthidiini sp.1,20,Ocimum gratissimum
Augochlorella sp.1,79,Oxalis debilis
Dialictus sp.,78,Oxalis debilis
Dialictus sp.,92,Oxalis debilis
Rhectomia sp.,80,Oxalis debilis
Centris sp.1,125,Petrea volubilis
Centris sp.1,127,Petrea volubilis
Centris sp.1,128,Petrea volubilis
Centris sp.1,129,Petrea volubilis
Mesoplia sp.,126,Petrea volubilis
Thygater sp.1,130,Petrea volubilis
Thygater sp.2,131,Petrea volubilis
Thygater sp.2,132,Petrea volubilis
Augochloropsis sp.3,174,Piper aduncum
Ceratalictus sp.2,175,Piper aduncum
Dialictus sp.,155,Piper aduncum
Dialictus sp.,176,Piper aduncum
Melipona marginata carioca,177,Piper aduncum
Oxytrigona cagafogo,158,Piper aduncum
Oxytrigona cagafogo,159,Piper aduncum
Schwarziana quadripunctata,152,Piper aduncum
Schwarziana quadripunctata,157,Piper aduncum
Tetragona clavipes,153,Piper aduncum
Tetragonisca angustula,148,Piper aduncum
Tetragonisca angustula,154,Piper aduncum
Apis mellifera,170,Psychotria leiocarpa
Paratetrapedia sp.3,182,Psychotria leiocarpa
Plebeia droryana,172,Psychotria leiocarpa
Plebeia droryana,173,Psychotria leiocarpa
Protosiris sp.1,183,Psychotria leiocarpa
Protosiris sp.1,184,Psychotria leiocarpa
Trigona sp.2,171,Psychotria leiocarpa
Trigonopedia ferruginea,Avistamento,Psychotria leiocarpa
Ariphanarthra palpalis,72,Rubus rosifolius
Ariphanarthra palpalis,94,Rubus rosifolius
Ariphanarthra palpalis,95,Rubus rosifolius
Augochlorella sp.1,76,Rubus rosifolius
Augochlorella sp.1,93,Rubus rosifolius
Rhectomia sp.,73,Rubus rosifolius
Ariphanarthra palpalis,203,Saranthe eichileri
Plebeia droryana,Perdido,Saranthe sp.
Trichocerapis mirabilis,Foi pro matheus,Saranthe sp.
Plebeia droryana,97,Serjania caracasana
Plebeia droryana,98,Serjania caracasana
Plebeia droryana,99,Serjania caracasana
Plebeia saiqui,100,Serjania caracasana
Augochloropsis sp.6,163,Solanum hexandrum
Eufriesea violaceae,143,Solanum hexandrum
Paratetrapedia sp.2,206,Solanum hexandrum
Plebeia droryana,164,Solanum hexandrum
Plebeia droryana,165,Solanum hexandrum
Euglossa sp.,57,Spathiphyllum cannifolium
Euglossa sp.,169,Spathiphyllum cannifolium
Eulaema cingulata,42,Spathiphyllum cannifolium
Plebeia droryana,60,Spathiphyllum cannifolium
Plebeia droryana,61,Spathiphyllum cannifolium
Plebeia droryana,64,Spathiphyllum cannifolium
Plebeia remota,58,Spathiphyllum cannifolium
Plebeia remota,59,Spathiphyllum cannifolium
Plebeia saiqui,62,Spathiphyllum cannifolium
Plebeia saiqui,63,Spathiphyllum cannifolium
Augochlora sp.2,39,Sphagneticola trilobata
Augochlora sp.4,166,Sphagneticola trilobata
Ceratina sp.1,33,Sphagneticola trilobata
Ceratina sp.2,34,Sphagneticola trilobata
Ceratina sp.2,35,Sphagneticola trilobata
Ceratina sp.2,36,Sphagneticola trilobata
Ceratina sp.2,37,Sphagneticola trilobata
Ceratina sp.3,162,Sphagneticola trilobata
Coelioxys sp.,150,Sphagneticola trilobata
Exomalopsis sp.1,38,Sphagneticola trilobata
Megachile sp.5,149,Sphagneticola trilobata
Plebeia droryana,40,Sphagneticola trilobata
Plebeia droryana,41,Sphagneticola trilobata
Ceratina sp.3,161,Stachytarpheta sp.
Paratetrapedia sp.3,151,Stachytarpheta sp.
Centris sp.1,68,Tecoma stans
Centris sp.1,69,Tecoma stans
Centris sp.1,70,Tecoma stans